UPM;NVIVI;NHOGA;ANIO;AREA;DPTOV;ESTGEO;P501;P502L;P503;P504L;P505;SELEC_AUX;FEX_MUJER
18588;98;1;2021;1;10;2;1;2;1; ; ;2;4656
18637;1;1;2021;6;10;3;1;2;1; ; ;2;234
18637;5;1;2021;6;10;3;1;2;1; ; ;2;234
18637;9;1;2021;6;10;3;1;2;1; ; ;2;180
18637;11;1;2021;6;10;3;1;2;1; ; ;2;251
18637;12;1;2021;6;10;3;1;2;1; ; ;2;214
18637;16;1;2021;6;10;3;1;2;1; ; ;2;180
18637;17;1;2021;6;10;3;1;2;1; ; ;2;245
18637;18;1;2021;6;10;3;2;4;1; ; ;4;477
18637;19;1;2021;6;10;3;1;2;1; ; ;2;214
18731;4;1;2021;6;10;3;1;2;1; ; ;2;460
18731;5;1;2021;6;10;3;1;2;1; ; ;2;453
18731;9;1;2021;6;10;3;1;2;1; ; ;2;450
18731;12;1;2021;6;10;3;1;3;1; ; ;3;755
18731;15;1;2021;6;10;3;2;3;1; ; ;3;875
18731;17;1;2021;6;10;3;1;2;1; ; ;2;330
18731;20;1;2021;6;10;3;1;2;1; ; ;2;460
18731;29;1;2021;6;10;3;1;2;1; ; ;2;393
18731;43;1;2021;6;10;3;1;2;1; ; ;2;453
18857;2;1;2021;6;10;3;2;2;1; ; ;2;738
18857;4;1;2021;6;10;3;1;2;1; ; ;2;350
18857;8;1;2021;6;10;3;1;2;1; ; ;2;369
18857;12;1;2021;6;10;3;1;2;1; ; ;2;269
18857;19;1;2021;6;10;3;1;2;1; ; ;2;320
18857;21;1;2021;6;10;3;1;2;1; ; ;2;375
18857;23;1;2021;6;10;3;1;2;1; ; ;2;356
18857;28;1;2021;6;10;3;1;2;1; ; ;2;375
18866;8;1;2021;1;10;2;1;2;1; ; ;2;429
18866;23;1;2021;1;10;2;1;2;1; ; ;2;287
18866;37;1;2021;1;10;2;2;4;1; ; ;4;873
18866;41;1;2021;1;10;2;1;1;1; ; ;1;472
18866;44;1;2021;1;10;2;1;1;1; ; ;1;419
18866;50;1;2021;1;10;2;1;2;1; ; ;2;404
18866;52;1;2021;1;10;2;2;1;1; ; ;1;575
18866;60;1;2021;1;10;2;1;2;1; ; ;2;429
18866;71;1;2021;1;10;2;1;1;1; ; ;1;321
18980;4;1;2021;1;11;1;2;1;1; ; ;1;684
18980;16;1;2021;1;11;1;1;1;1; ; ;1;342
18980;25;1;2021;1;11;1;2;1;1; ; ;1;860
18980;38;1;2021;1;11;1;2;3;1; ; ;3;893
18980;41;1;2021;1;11;1;2;2;1; ; ;2;684
19043;5;1;2021;6;11;3;2;1;1; ; ;1;1520
19043;8;1;2021;6;11;3;1;2;1; ; ;2;378
19043;16;1;2021;6;11;3;2;1;1; ; ;1;921
19043;22;1;2021;6;11;3;2;1;1; ; ;1;762
19043;29;1;2021;6;11;3;1;1;1; ; ;1;461
19043;37;1;2021;6;11;3;2;1;1; ; ;1;1097
19137;1;1;2021;6;11;3;1;2;1; ; ;2;541
19137;12;1;2021;6;11;3;1;2;1; ; ;2;514
19137;15;1;2021;6;11;3;1;1;1; ; ;1;351
19137;18;1;2021;6;11;3;1;2;1; ; ;2;533
19137;28;1;2021;6;11;3;1;2;1; ; ;2;514
19137;29;1;2021;6;11;3;2;2;1; ; ;2;1065
19137;32;1;2021;6;11;3;1;1;1; ; ;1;505
19217;12;1;2021;6;11;3;3;1;1; ; ;1;1710
19217;29;1;2021;6;11;3;1;2;1; ; ;2;512
19217;48;1;2021;6;11;3;1;1;1; ; ;1;764
19217;51;1;2021;6;11;3;1;2;1; ; ;2;795
19217;65;1;2021;6;11;3;1;1;1; ; ;1;678
19217;66;1;2021;6;11;3;4;4;1; ; ;4;3021
19217;71;1;2021;6;11;3;1;2;1; ; ;2;795
19217;72;1;2021;6;11;3;1;1;1; ; ;1;764
19260;3;1;2021;6;11;3;1;1;1; ; ;1;122
19260;4;1;2021;6;11;3;1;2;1; ; ;2;122
19260;8;1;2021;6;11;3;2;4;1; ; ;4;359
19260;12;1;2021;6;11;3;1;2;1; ; ;2;186
19260;13;1;2021;6;11;3;1;2;1; ; ;2;184
