UPM;NVIVI;NHOGA;ANIO;AREA;DPTOV;ESTGEO;P901;P902;P903;P904;P905;P906;P907;P908;P909;P910;P911;P912;P913;P914;P915;P916;P917;P918;P919;P920;P921;P922;P923;P924;P925;P926;P927;P928;P929;P930;P931;P932;P933;P934;P935;P936;P937;P938;P939;P940;P941;P942;P943;P944;P945;P946;FEX_MUJER
621;5;1;2021;1;0;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;18;4;1; ;5;19;1;5;3;3;3;3;550
621;10;1;2021;1;0;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;42;4;1; ;0; ; ; ; ; ;1;3;1419
621;18;1;2021;1;0;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;30;4;1; ;2;19;0;2;1;1;1;1;1918
621;27;1;2021;1;0;1;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;2;18;1;19;6; ;1;22;1;1;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2103
621;38;1;2021;1;0;1;1;48;19;1; ; ;4;1;5;23;2;5;3;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;446
621;48;1;2021;1;0;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;19;4;1; ;5;18;3;4;3;3;3;3;2129
622;12;1;2021;1;0;1;1;30;17;1; ; ;1;1;2;23;1;2;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;275
622;16;1;2021;1;0;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;29;1;1; ;2;30;2;2;3;1;1;1;774
622;19;1;2021;1;0;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;23;4;1; ;6;26;1;6;3;3;3;3;743
622;23;1;2021;1;0;1;2;24;20;1; ; ;4;2;2;21;2;2;3;3;8;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;543
622;27;1;2021;1;0;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;28;4;1; ;1;30;1;1;3;3;3;3;201
622;28;1;2021;1;0;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;21;4;1; ;4;24;2;4;3;3;3;3;639
622;37;1;2021;1;0;1;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;16;1;18;1;1;0; ; ; ; ; ;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1008
622;38;1;2021;1;0;1;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;607
805;11;1;2021;1;0;1;1;31;21;1; ; ;4;3;2;24;1;2;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;548
805;25;1;2021;1;0;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;28;4;1; ;2;29;1;2;3;3;3;3;470
805;28;1;2021;1;0;1;1;1;23;2;23;4;4;1;1;23;1;0;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;773
805;36;1;2021;1;0;1;1;27;28;1; ; ;4;1;2;32;2;2;3;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;548
805;38;1;2021;1;0;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;24;4;1; ;1;30;1;1;3;3;1;3;773
805;51;1;2021;1;0;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;21;1;1; ;1;21;1;1;3;3;2;1;661
853;1;1;2021;1;0;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;18;4;2;35;6;16;2;1;3;3;2;3;454
853;3;1;2021;1;0;1;1;15;16;1; ; ;4;1;3;19;3;3;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;320
853;10;1;2021;1;0;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;19;4;1; ;6;20;2;6;3;3;8;3;227
853;22;1;2021;1;0;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;22;4;1; ;4;24;1;4;1;3;8;3;641
853;28;1;2021;1;0;1;1;15;18;1; ; ;4;1;3;18;3;3;3;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;548
853;38;1;2021;1;0;1;1;11;24;2;20;1;4;1;3;20;3;2;1;1;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;274
853;53;1;2021;1;0;1;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;2;17;1;17;6; ;1;40;1;1;3;3;8;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ;291
853;70;1;2021;1;0;1;2;16;18;1; ; ;4;1;2;25;2;2;1;1;8;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;274
853;80;1;2021;1;0;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;19;1;2;40;4;20;2;2;3;3;3;2;310
885;8;1;2021;1;0;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;19;4;1; ;1;23;0;0;3;1;2;2;22178
895;13;1;2021;1;0;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;30;4;1; ;2;26;2;1;3;3;3;3;1578
895;16;1;2021;1;0;1;2;3;30;1; ; ;4;1;0; ; ; ; ; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1847
895;22;1;2021;1;0;1;1;28;29;1; ; ;4;1;1;43;0;1;3;3;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1123
901;10;1;2021;1;0;1;2;20;18;1; ; ;4;2;3;16;3;3;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;401
901;11;1;2021;1;0;1;2;40;32;2;26;4;4;1;4;27;0;3;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;286
901;29;1;2021;1;0;1;2;3;19;1; ; ;1;3;2;20;2;2;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1004
901;31;1;2021;1;0;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;18;4;3;30;3;19;3;1;3;3;3;3;470
